
,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
220,Jimmy Green,Colorado State,MWC,8,132,436,3.3,3,3,28,9.3,0,135,464,3.4,3,jimmy-green-1
221,Allen Webb,Kansas State,Big 12,10,127,418,3.3,8,,,,,127,418,3.3,8,allen-webb-1
222,Kole McKamey*,New Mexico,MWC,11,128,416,3.3,6,,,,,128,416,3.3,6,kole-mckamey-1
223,Justine Buries,New Mexico State,Sun Belt,11,79,260,3.3,4,3,7,2.3,0,82,267,3.3,4,justine-buries-1
224,Jay Cutler,Vanderbilt,SEC,11,109,349,3.2,6,,,,,109,349,3.2,6,jay-cutler-1
225,Omar Jacobs*,Bowling Green State,MAC,12,95,300,3.2,4,,,,,95,300,3.2,4,omar-jacobs-1
226,Jared Patterson,Buffalo,MAC,11,83,265,3.2,4,4,20,5.0,0,87,285,3.3,4,jared-patterson-1
227,Kent Smith,Central Michigan,MAC,11,112,351,3.1,10,,,,,112,351,3.1,10,kent-smith-1
228,Cory Randolph,Wake Forest,ACC,11,92,287,3.1,1,,,,,92,287,3.1,1,cory-randolph-1
229,Brett Basanez,Northwestern,Big Ten,12,83,258,3.1,5,,,,,83,258,3.1,5,brett-basanez-1
230,Marcus Randall*,LSU,SEC,12,79,247,3.1,3,,,,,79,247,3.1,3,marcus-randall-1
231,Booker Stanley*,Wisconsin,Big Ten,10,115,350,3.0,2,18,146,8.1,1,133,496,3.7,3,booker-stanley-1
232,Shane Boyd,Kentucky,SEC,10,102,297,2.9,5,,,,,102,297,2.9,5,shane-boyd-1
233,Dylan Meier,Kansas State,Big 12,10,81,232,2.9,6,,,,,81,232,2.9,6,dylan-meier-1
234,Nick Noce,Arkansas State,Sun Belt,11,88,249,2.8,3,,,,,88,249,2.8,3,nick-noce-1
235,Marvin Townes,East Carolina,CUSA,10,87,235,2.7,1,7,23,3.3,0,94,258,2.7,1,marvin-townes-1
236,Reggie Ball*,Georgia Tech,ACC,12,130,332,2.6,2,,,,,130,332,2.6,2,reggie-ball-1
237,Ryan Cole*,Oregon State,Pac-10,12,80,210,2.6,2,10,77,7.7,0,90,287,3.2,2,ryan-cole-1
238,Jared Zabransky*,Boise State,WAC,12,130,326,2.5,13,2,5,2.5,0,132,331,2.5,13,jared-zabransky-1
239,Syvelle Newton,South Carolina,SEC,11,104,262,2.5,5,,,,,104,262,2.5,5,syvelle-newton-1
240,Sam Brownlee*,Iowa,Big Ten,9,94,227,2.4,0,4,35,8.8,0,98,262,2.7,0,sam-brownlee-1
241,Bret Meyer*,Iowa State,Big 12,12,144,331,2.3,2,,,,,144,331,2.3,2,bret-meyer-1
242,Darian Durant*,North Carolina,ACC,12,81,188,2.3,1,,,,,81,188,2.3,1,darian-durant-1
243,Bruce Gradkowski*,Toledo,MAC,13,91,191,2.1,9,,,,,91,191,2.1,9,bruce-gradkowski-1
244,Pat Julmiste,South Florida,CUSA,11,96,193,2.0,9,1,16,16.0,1,97,209,2.2,10,pat-julmiste-1
245,James Kilian,Tulsa,WAC,12,150,282,1.9,8,1,0,0.0,0,151,282,1.9,8,james-kilian-1
246,Buck Pierce,New Mexico State,Sun Belt,11,71,130,1.8,2,1,40,40.0,0,72,170,2.4,2,buck-pierce-1
247,Corey Bramlet*,Wyoming,MWC,12,124,209,1.7,4,,,,,124,209,1.7,4,corey-bramlet-1
248,Jeff Rowe,Nevada,WAC,12,77,129,1.7,3,,,,,77,129,1.7,3,jeff-rowe-1
249,Kellen Clemens,Oregon,Pac-10,11,118,190,1.6,4,,,,,118,190,1.6,4,kellen-clemens-1
250,Dale Rogers,San Jose State,WAC,11,82,124,1.5,6,,,,,82,124,1.5,6,dale-rogers-1
251,Clint Marks,Middle Tennessee State,Sun Belt,11,73,113,1.5,1,1,9,9.0,0,74,122,1.6,1,clint-marks-1
252,Kyle Orton*,Purdue,Big Ten,11,80,112,1.4,3,,,,,80,112,1.4,3,kyle-orton-1
253,D.T. McDowell*,Troy,Sun Belt,10,76,98,1.3,2,1,27,27.0,0,77,125,1.6,2,dt-mcdowell-1
254,Matt LoVecchio,Indiana,Big Ten,11,93,112,1.2,2,,,,,93,112,1.2,2,matt-lovecchio-2
255,Tyler Palko*,Pitt,Big East,12,129,139,1.1,3,,,,,129,139,1.1,3,tyler-palko-1
256,Josh Betts*,Miami (OH),MAC,13,83,86,1.0,3,,,,,83,86,1.0,3,josh-betts-1
257,Travis Cox,Utah State,Sun Belt,11,114,63,0.6,2,,,,,114,63,0.6,2,travis-cox-1
258,Charlie Whitehurst,Clemson,ACC,11,81,43,0.5,1,1,2,2.0,0,82,45,0.5,1,charlie-whitehurst-1
259,Kevin Kolb,Houston,CUSA,11,118,51,0.4,5,,,,,118,51,0.4,5,kevin-kolb-1
260,Steven Moffett,UCF,MAC,10,107,6,0.1,2,,,,,107,6,0.1,2,steven-moffett-1
261,Charlie Frye,Akron,MAC,11,100,-6,-0.1,2,,,,,100,-6,-0.1,2,charlie-frye-1
262,Ryan Hawk,Ohio,MAC,11,91,-16,-0.2,2,1,29,29.0,0,92,13,0.1,2,ryan-hawk-1
263,John Beck,Brigham Young,MWC,11,90,-36,-0.4,0,,,,,90,-36,-0.4,0,john-beck-1
264,Darrell Hackney*,UAB,CUSA,12,81,-44,-0.5,2,,,,,81,-44,-0.5,2,darrell-hackney-1
265,Mike Schneider,Duke,ACC,11,72,-59,-0.8,2,1,15,15.0,0,73,-44,-0.6,2,mike-schneider-1
266,Drew Tate*,Iowa,Big Ten,12,89,-76,-0.9,2,1,8,8.0,0,90,-68,-0.8,2,drew-tate-1
267,Derek Anderson*,Oregon State,Pac-10,12,75,-152,-2.0,2,,,,,75,-152,-2.0,2,derek-anderson-1
